"CapabilityId","CapabilityName","CapabilityGroup","CapabilityGroupName","TechniqueID","TechniqueName","Tactic","ScoreCategory","ScoreValue","Comments","References"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1074.001","Local Data Staging","Collection","protect","minimal","Conditional Access (CA), when granting (risky) users access to Office applications like SharePoint and OneDrive, can restrict what they can do in these applications using its app-enforced restrictions.   For example, it can enforce that users on unmanaged devices will have browser-only access to SharePoint/OneDrive with no ability to download, print, or sync files.  This can impede an adversary's ability to collect and stage files.  This offers minimal coverage as it requires the target application to support such a feature that can be triggered by this control and to date only a few (Office) applications support this.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1074.002","Remote Data Staging","Collection","protect","minimal","Conditional Access (CA), when granting (risky) users access to Office applications like SharePoint and OneDrive, can restrict what they can do in these applications using its app-enforced restrictions.   For example, it can enforce that users on unmanaged devices will have browser-only access to SharePoint/OneDrive with no ability to download, print, or sync files.  This can impede an adversary's ability to collect and stage files.  This offers minimal coverage as it requires the target application to support such a feature that can be triggered by this control and to date only a few (Office) applications support this.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1078","Valid Accounts","Defense Evasion, Persistence, Privilege Escalation, Initial Access","protect","minimal","This control only provides minimal protection for this technique's procedure examples along and also only protects one of its sub-techniques resulting in an overall Minimal score.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1078.004","Cloud Accounts","Defense Evasion, Persistence, Privilege Escalation, Initial Access","protect","significant","This control can protect against the abuse of valid cloud accounts by requiring MFA or blocking access altogether based on signals such as the user's IP location information, device compliance state, risky sign-in/user state (through integration with Azure AD Identity Protection).  Additionally, session controls that can limit what a valid user can do within an app can also be triggered based on the aforementioned triggers.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110","Brute Force","Credential Access","protect","significant","Conditional Access can be used to enforce MFA for users which provides significant protection against  password compromises, requiring an adversary to complete an additional authentication method before their access is permitted.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110.001","Password Guessing","Credential Access","protect","significant","Conditional Access can be used to enforce MFA for users which can significantly reduce the impact of a password compromise, requiring an adversary to complete an additional authentication method before  their access is permitted.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110.002","Password Cracking","Credential Access","protect","significant","Conditional Access can be used to enforce MFA for users which can significantly reduce the impact of a password compromise, requiring an adversary to complete an additional authentication method before  their access is permitted.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110.003","Password Spraying","Credential Access","protect","significant","Conditional Access can be used to enforce MFA for users which can significantly reduce the impact of a password compromise, requiring an adversary to complete an additional authentication method before  their access is permitted.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110.004","Credential Stuffing","Credential Access","protect","significant","Conditional Access can be used to enforce MFA for users which can significantly reduce the impact of a password compromise, requiring an adversary to complete an additional authentication method before  their access is permitted.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1213","Data from Information Repositories","Collection","protect","minimal","This control only provides the ability to restrict an adversary from collecting valuable information for a limited set of applications (SharePoint, Exchange, OneDrive) and therefore its overall Coverage score is minimal.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1213.002","Sharepoint","Collection","protect","partial","Conditional Access (CA), when granting (risky) users access to Office applications like SharePoint can restrict what they can do in these applications using its app-enforced restrictions.   For example, it can enforce that users on unmanaged devices will have browser-only access to SharePoint with no ability to download, print, or sync files.  Furthermore, with its integration with Microsoft Cloud App Security, it can even restrict  cut, copy and paste operations.  This can impede an adversary's ability to collect valuable information and/or files from the application.   This protection is partial as it doesn't prohibit an adversary from potentially viewing sensitive information and manually collecting it, for example simply writing down information by hand.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1530","Data from Cloud Storage","Collection","protect","minimal","Conditional Access, when granting (risky) users access to cloud storage, specifically OneDrive, can restrict what they can do in these applications using its app-enforced restrictions.   For example, it can enforce that users on unmanaged devices will have browser-only access to OneDrive with no ability to download, print, or sync files.  This can impede an adversary's ability to exfiltrate data from OneDrive.  The protection coverage provided by this control is Minimal as it doesn't provide protection for other storage services available on Azure such as the Azure Storage service.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1074","Data Staged","Collection","protect","minimal","This control only provides the ability to restrict file downloads for a limited set of applications and therefore its overall Coverage score is minimal.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1074.001","Local Data Staging","Collection","protect","minimal","Conditional Access (CA), when granting (risky) users access to Office applications like SharePoint and OneDrive, can restrict what they can do in these applications using its app-enforced restrictions.   For example, it can enforce that users on unmanaged devices will have browser-only access to SharePoint/OneDrive with no ability to download, print, or sync files.  This can impede an adversary's ability to collect and stage files.  This offers minimal coverage as it requires the target application to support such a feature that can be triggered by this control and to date only a few (Office) applications support this.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1074.002","Remote Data Staging","Collection","protect","minimal","Conditional Access (CA), when granting (risky) users access to Office applications like SharePoint and OneDrive, can restrict what they can do in these applications using its app-enforced restrictions.   For example, it can enforce that users on unmanaged devices will have browser-only access to SharePoint/OneDrive with no ability to download, print, or sync files.  This can impede an adversary's ability to collect and stage files.  This offers minimal coverage as it requires the target application to support such a feature that can be triggered by this control and to date only a few (Office) applications support this.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1078","Valid Accounts","Defense Evasion, Persistence, Privilege Escalation, Initial Access","protect","minimal","This control only provides minimal protection for this technique's procedure examples along and also only protects one of its sub-techniques resulting in an overall Minimal score.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1078.004","Cloud Accounts","Defense Evasion, Persistence, Privilege Escalation, Initial Access","protect","significant","This control can protect against the abuse of valid cloud accounts by requiring MFA or blocking access altogether based on signals such as the user's IP location information, device compliance state, risky sign-in/user state (through integration with Azure AD Identity Protection).  Additionally, session controls that can limit what a valid user can do within an app can also be triggered based on the aforementioned triggers.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110","Brute Force","Credential Access","protect","significant","Conditional Access can be used to enforce MFA for users which provides significant protection against  password compromises, requiring an adversary to complete an additional authentication method before their access is permitted.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110.001","Password Guessing","Credential Access","protect","significant","Conditional Access can be used to enforce MFA for users which can significantly reduce the impact of a password compromise, requiring an adversary to complete an additional authentication method before  their access is permitted.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110.002","Password Cracking","Credential Access","protect","significant","Conditional Access can be used to enforce MFA for users which can significantly reduce the impact of a password compromise, requiring an adversary to complete an additional authentication method before  their access is permitted.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110.003","Password Spraying","Credential Access","protect","significant","Conditional Access can be used to enforce MFA for users which can significantly reduce the impact of a password compromise, requiring an adversary to complete an additional authentication method before  their access is permitted.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1110.004","Credential Stuffing","Credential Access","protect","significant","Conditional Access can be used to enforce MFA for users which can significantly reduce the impact of a password compromise, requiring an adversary to complete an additional authentication method before  their access is permitted.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1213","Data from Information Repositories","Collection","protect","minimal","This control only provides the ability to restrict an adversary from collecting valuable information for a limited set of applications (SharePoint, Exchange, OneDrive) and therefore its overall Coverage score is minimal.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1213.002","Sharepoint","Collection","protect","partial","Conditional Access (CA), when granting (risky) users access to Office applications like SharePoint can restrict what they can do in these applications using its app-enforced restrictions.   For example, it can enforce that users on unmanaged devices will have browser-only access to SharePoint with no ability to download, print, or sync files.  Furthermore, with its integration with Microsoft Cloud App Security, it can even restrict  cut, copy and paste operations.  This can impede an adversary's ability to collect valuable information and/or files from the application.   This protection is partial as it doesn't prohibit an adversary from potentially viewing sensitive information and manually collecting it, for example simply writing down information by hand.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1530","Data from Cloud Storage","Collection","protect","minimal","Conditional Access, when granting (risky) users access to cloud storage, specifically OneDrive, can restrict what they can do in these applications using its app-enforced restrictions.   For example, it can enforce that users on unmanaged devices will have browser-only access to OneDrive with no ability to download, print, or sync files.  This can impede an adversary's ability to exfiltrate data from OneDrive.  The protection coverage provided by this control is Minimal as it doesn't provide protection for other storage services available on Azure such as the Azure Storage service.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1078","Valid Accounts","Defense Evasion, Persistence, Privilege Escalation, Initial Access","respond","minimal","This control only protects cloud accounts and therefore its overall coverage is minimal resulting in a Minimal respond score for this technique.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-continuous-access-evaluation"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1078","Valid Accounts","Defense Evasion, Persistence, Privilege Escalation, Initial Access","respond","minimal","This control only protects cloud accounts and therefore its overall coverage is minimal resulting in a Minimal respond score for this technique.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-continuous-access-evaluation"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1078.004","Cloud Accounts","Defense Evasion, Persistence, Privilege Escalation, Initial Access","respond","partial","Security controls like Azure AD Identity Protection can raise a user's risk level asynchronously after they have used a valid account to access organizational data.  This CAE control can respond to this change in the users risky state to terminate the user's access within minutes or enforce an additional authentication method such as MFA.   This mitigates the impact of an adversary using a valid account.  This is control only forces the user to re-authenticate and doesn't resolve the usage of a valid account (i.e. password change) and is therefore a containment type of response. ","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1078.004","Cloud Accounts","Defense Evasion, Persistence, Privilege Escalation, Initial Access","respond","partial","Security controls like Azure AD Identity Protection can raise a user's risk level asynchronously after they have used a valid account to access organizational data.  This CAE control can respond to this change in the users risky state to terminate the user's access within minutes or enforce an additional authentication method such as MFA.   This mitigates the impact of an adversary using a valid account.  This is control only forces the user to re-authenticate and doesn't resolve the usage of a valid account (i.e. password change) and is therefore a containment type of response. ","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1496.001","Compute Hijacking","Impact","protect","partial","In the event that a session is hijacked, continuous access evaluation can be used to terminate the session, potentially before any malicious actions can occur.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1496.004","Cloud Service Hijacking","Impact","protect","partial","In the event that a session is hijacked, continuous access evaluation can be used to terminate the session, potentially before any malicious actions can occur.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CA-E3","Conditional Access","entra-id","Microsoft Entra ID","T1557.004","Evil Twin","Credential Access, Collection","protect","partial","Conditional Access policies can restrict devices, potentially stopping them from connecting to an Evil Twin network.","https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"
"EID-CAE-E3","Continuous Access Evaluation","entra-id","Microsoft Entra ID","T1078","Valid Accounts","Defense Evasion, Persistence, Privilege Escalation, Initial Access","detect","significant","Entra ID's continuous access evaluation is a security control implemented by enabling services to subscribe to critical Microsoft Entra events. Those events can then be evaluated and enforced near real time. This process enables tenant users lose access to organizational SharePoint Online files, email, calendar, or tasks, and Teams from Microsoft 365 client apps within minutes after a critical event is detected. The following events are currently evaluated:

User Account is deleted or disabled
Password for a user is changed or reset
Multifactor authentication is enabled for the user
Administrator explicitly revokes all refresh tokens for a user
High user risk detected by Microsoft Entra ID Protection

License Requirements:
Continuous access evaluation will be included in all versions of Microsoft 365. 
","https://learn.microsoft.com/en-us/microsoft-365/security/office-365-security/zero-trust-continuous-access-evaluation-microsoft-365?view=o365-worldwide"
"EID-CAE-E3","Continuous Access Evaluation","entra-id","Microsoft Entra ID","T1098.003","Additional Cloud Roles","Persistence, Privilege Escalation","detect","significant","Entra ID's continuous access evaluation is a security control implemented by enabling services to subscribe to critical Microsoft Entra events. Those events can then be evaluated and enforced near real time. This process enables tenant users lose access to organizational SharePoint Online files, email, calendar, or tasks, and Teams from Microsoft 365 client apps within minutes after a critical event is detected. The following events are currently evaluated:

User Account is deleted or disabled
Password for a user is changed or reset
Multifactor authentication is enabled for the user
Administrator explicitly revokes all refresh tokens for a user
High user risk detected by Microsoft Entra ID Protection

License Requirements:
Continuous access evaluation will be included in all versions of Microsoft 365. 
","https://learn.microsoft.com/en-us/microsoft-365/security/office-365-security/zero-trust-continuous-access-evaluation-microsoft-365?view=o365-worldwide"
"EID-CAE-E3","Continuous Access Evaluation","entra-id","Microsoft Entra ID","T1098.006","Additional Container Cluster Roles","Persistence, Privilege Escalation","detect","significant","Entra ID's continuous access evaluation is a security control implemented by enabling services to subscribe to critical Microsoft Entra events. Those events can then be evaluated and enforced near real time. This process enables tenant users lose access to organizational SharePoint Online files, email, calendar, or tasks, and Teams from Microsoft 365 client apps within minutes after a critical event is detected. The following events are currently evaluated:

User Account is deleted or disabled
Password for a user is changed or reset
Multifactor authentication is enabled for the user
Administrator explicitly revokes all refresh tokens for a user
High user risk detected by Microsoft Entra ID Protection

License Requirements:
Continuous access evaluation will be included in all versions of Microsoft 365. 
","https://learn.microsoft.com/en-us/microsoft-365/security/office-365-security/zero-trust-continuous-access-evaluation-microsoft-365?view=o365-worldwide; https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-continuous-access-evaluation "
"EID-CAE-E3","Continuous Access Evaluation","entra-id","Microsoft Entra ID","T1110","Brute Force","Credential Access","detect","significant","Entra ID's continuous access evaluation is a security control implemented by enabling services to subscribe to critical Microsoft Entra events. Those events can then be evaluated and enforced near real time. This process enables tenant users lose access to organizational SharePoint Online files, email, calendar, or tasks, and Teams from Microsoft 365 client apps within minutes after a critical event is detected. The following events are currently evaluated:

User Account is deleted or disabled
Password for a user is changed or reset
Multifactor authentication is enabled for the user
Administrator explicitly revokes all refresh tokens for a user
High user risk detected by Microsoft Entra ID Protection

License Requirements:
Continuous access evaluation will be included in all versions of Microsoft 365. 
","https://learn.microsoft.com/en-us/microsoft-365/security/office-365-security/zero-trust-continuous-access-evaluation-microsoft-365?view=o365-worldwide"
"EID-CAE-E3","Continuous Access Evaluation","entra-id","Microsoft Entra ID","T1114","Email Collection","Collection","detect","significant","Entra ID's continuous access evaluation is a security control implemented by enabling services to subscribe to critical Microsoft Entra events. Those events can then be evaluated and enforced near real time. This process enables tenant users lose access to organizational SharePoint Online files, email, calendar, or tasks, and Teams from Microsoft 365 client apps within minutes after a critical event is detected. The following events are currently evaluated:

User Account is deleted or disabled
Password for a user is changed or reset
Multifactor authentication is enabled for the user
Administrator explicitly revokes all refresh tokens for a user
High user risk detected by Microsoft Entra ID Protection

License Requirements:
Continuous access evaluation will be included in all versions of Microsoft 365. 
","https://learn.microsoft.com/en-us/microsoft-365/security/office-365-security/zero-trust-continuous-access-evaluation-microsoft-365?view=o365-worldwide"
"EID-CAE-E3","Continuous Access Evaluation","entra-id","Microsoft Entra ID","T1114.002","Remote Email Collection","Collection","detect","significant","Entra ID's continuous access evaluation is a security control implemented by enabling services to subscribe to critical Microsoft Entra events. Those events can then be evaluated and enforced near real time. This process enables tenant users lose access to organizational SharePoint Online files, email, calendar, or tasks, and Teams from Microsoft 365 client apps within minutes after a critical event is detected. The following events are currently evaluated:

User Account is deleted or disabled
Password for a user is changed or reset
Multifactor authentication is enabled for the user
Administrator explicitly revokes all refresh tokens for a user
High user risk detected by Microsoft Entra ID Protection

License Requirements:
Continuous access evaluation will be included in all versions of Microsoft 365. 
","https://learn.microsoft.com/en-us/microsoft-365/security/office-365-security/zero-trust-continuous-access-evaluation-microsoft-365?view=o365-worldwide"
"EID-CAE-E3","Continuous Access Evaluation","entra-id","Microsoft Entra ID","T1134.001","Token Impersonation/Theft","Defense Evasion, Privilege Escalation","detect","significant","Entra ID's continuous access evaluation is a security control implemented by enabling services to subscribe to critical Microsoft Entra events. Those events can then be evaluated and enforced near real time. This process enables tenant users lose access to organizational SharePoint Online files, email, calendar, or tasks, and Teams from Microsoft 365 client apps within minutes after a critical event is detected. The following events are currently evaluated:

User Account is deleted or disabled
Password for a user is changed or reset
Multifactor authentication is enabled for the user
Administrator explicitly revokes all refresh tokens for a user
High user risk detected by Microsoft Entra ID Protection

License Requirements:
Continuous access evaluation will be included in all versions of Microsoft 365. 
","https://learn.microsoft.com/en-us/microsoft-365/security/office-365-security/zero-trust-continuous-access-evaluation-microsoft-365?view=o365-worldwide"
"EID-CAE-E3","Continuous Access Evaluation","entra-id","Microsoft Entra ID","T1531","Account Access Removal","Impact","detect","significant","Entra ID's continuous access evaluation is a security control implemented by enabling services to subscribe to critical Microsoft Entra events. Those events can then be evaluated and enforced near real time. This process enables tenant users lose access to organizational SharePoint Online files, email, calendar, or tasks, and Teams from Microsoft 365 client apps within minutes after a critical event is detected. The following events are currently evaluated:

User Account is deleted or disabled
Password for a user is changed or reset
Multifactor authentication is enabled for the user
Administrator explicitly revokes all refresh tokens for a user
High user risk detected by Microsoft Entra ID Protection

License Requirements:
Continuous access evaluation will be included in all versions of Microsoft 365. 
","https://learn.microsoft.com/en-us/microsoft-365/security/office-365-security/zero-trust-continuous-access-evaluation-microsoft-365?view=o365-worldwide"
"EID-CAE-E3","Continuous Access Evaluation","entra-id","Microsoft Entra ID","T1539","Steal Web Session Cookie","Credential Access","detect","significant","Entra ID's continuous access evaluation is a security control implemented by enabling services to subscribe to critical Microsoft Entra events. Those events can then be evaluated and enforced near real time. This process enables tenant users lose access to organizational SharePoint Online files, email, calendar, or tasks, and Teams from Microsoft 365 client apps within minutes after a critical event is detected. The following events are currently evaluated:

User Account is deleted or disabled
Password for a user is changed or reset
Multifactor authentication is enabled for the user
Administrator explicitly revokes all refresh tokens for a user
High user risk detected by Microsoft Entra ID Protection

License Requirements:
Continuous access evaluation will be included in all versions of Microsoft 365. 
","https://learn.microsoft.com/en-us/microsoft-365/security/office-365-security/zero-trust-continuous-access-evaluation-microsoft-365?view=o365-worldwide"
"EID-CAE-E3","Continuous Access Evaluation","entra-id","Microsoft Entra ID","T1548.005","Temporary Elevated Cloud Access","Privilege Escalation, Defense Evasion","detect","significant","Entra ID's continuous access evaluation is a security control implemented by enabling services to subscribe to critical Microsoft Entra events. Those events can then be evaluated and enforced near real time. This process enables tenant users lose access to organizational SharePoint Online files, email, calendar, or tasks, and Teams from Microsoft 365 client apps within minutes after a critical event is detected. The following events are currently evaluated:

User Account is deleted or disabled
Password for a user is changed or reset
Multifactor authentication is enabled for the user
Administrator explicitly revokes all refresh tokens for a user
High user risk detected by Microsoft Entra ID Protection

License Requirements:
Continuous access evaluation will be included in all versions of Microsoft 365. 
","https://learn.microsoft.com/en-us/microsoft-365/security/office-365-security/zero-trust-continuous-access-evaluation-microsoft-365?view=o365-worldwide"
