"RuleName","Techniques","SubTechniques","TacticIds","TacticNames","TechniqueNames","DeploymentStatus","TechniqueCount"
"CS - Attempt to exploit BIG-IP vulnerability (CVE-2022-1388)","T1133","","TA0001","Initial Access","External Remote Services","Production","1"
"CS - Attempt to Stop VMs on Linux Server","T1489","","TA0040","Impact","Service Stop","Production","1"
"CS - Atypical Process Using Encoded PowerShell (Experimental)","T1218","T1218.007","TA0005","Defense Evasion","Msiexec, System Binary Proxy Execution","Tuning","2"
"CS - AWS GuardDuty -  A sequence of API requests that were invoked by using potentially compromised AWS credentials.","","","TA0001, TA0002, TA0004, TA0005, TA0006, TA0007","Credential Access, Defense Evasion, Discovery, Execution, Initial Access, Privilege Escalation","","Production","0"
"CS - AWS GuardDuty -  Suspicious S3 API Activity Detected","","","TA0001, TA0002, TA0004, TA0005, TA0006, TA0007","Credential Access, Defense Evasion, Discovery, Execution, Initial Access, Privilege Escalation","","Production","0"
"CS - AWS GuardDuty - EC2 Domain Query Linked to Drive-By Download Threat","","","TA0011","Command and Control","","Production","0"
"CS - AWS GuardDuty - High Severity Suspicious Command Execution on EC2","T1059","","TA0002, TA0005","Defense Evasion, Execution","Command and Scripting Interpreter","Production","1"
"CS - AWS GuardDuty - S3 Bucket Anonymous Access with High Severity","","","TA0011","Command and Control","","Production","0"
"CS - Azure DevOps Administrator Group Monitoring","T1098","","TA0003","Persistence","Account Manipulation","Production","1"
"CS - Azure DevOps Personal Access Token (PAT) misuse","T1134, T1531","","TA0004, TA0005, TA0040","Defense Evasion, Impact, Privilege Escalation","Access Token Manipulation, Account Access Removal","Production","2"
"CS - Azure DevOps Pull Request Policy Bypassing - Historic allow list","T1098","","TA0003","Persistence","Account Manipulation","Production","1"
"CS - Azure DevOps Service Connection Addition/Abuse - Historic allow list","T1098","","TA0003","Persistence","Account Manipulation","Tuning","1"
"CS - Bcdedit used to disable Windows Automatic Repair functionality","T1490","T1562.001","TA0005, TA0040","Defense Evasion, Impact","Disable or Modify Tools, Inhibit System Recovery","Production","2"
"CS - Brute force attack against a Cloud PC","T1078","T1110.001, T1110.002, T1110.003, T1110.004","TA0001, TA0006","Credential Access, Initial Access","Credential Stuffing, Password Cracking, Password Guessing, Password Spraying, Valid Accounts","Production","5"
"CS - Brute force attack against Azure Portal","T1078","T1110.001, T1110.002, T1110.003, T1110.004","TA0001, TA0006","Credential Access, Initial Access","Credential Stuffing, Password Cracking, Password Guessing, Password Spraying, Valid Accounts","Production","5"
"CS - Changes to AWS Security Group ingress and egress settings","T1098","","TA0003","Persistence","Account Manipulation","Production","1"
"CS - Checkpoint NGFW - Unblocked High Severity Threat","T1562","","TA0005","Defense Evasion","Impair Defenses","Production","1"
"CS - CheckPoint NGFW - Unprevented CVE Threat Detection","T1562","","TA0005","Defense Evasion","Impair Defenses","Production","1"
"CS - Cisco Umbrella - Empty User Agent Detected","T1036","","TA0005","Defense Evasion","Masquerading","Tuning","1"
"CS - Cisco Umbrella - Request to blocklisted file type","T1204","","TA0002","Execution","User Execution","Production","1"
"CS - CMD DLL/PE Injection Strings (Cleartext)","T1620","","TA0005","Defense Evasion","Reflective Code Loading","Production","1"
"CS - CMD DLL/PE Injection Strings (Decoded)","T1620","","TA0005","Defense Evasion","Reflective Code Loading","Production","1"
"CS - Cobalt Strike Rundll32 StartW","","T1218.001","TA0005","Defense Evasion","Compiled HTML File","Production","1"
"CS - Conditional Access Policy Modified by Irregular User","","T1078.004","TA0001","Initial Access","Cloud Accounts","Customer Monitored","1"
"CS - Connection to CUPS Port Via UDP","T1190","","TA0001","Initial Access","Exploit Public-Facing Application","Tuning","1"
"CS - Correlation of Suspicious Activity with Failed Login Attempts","T1110, T1566","","TA0001, TA0006","Credential Access, Initial Access","Brute Force, Phishing","Tuning","2"
"CS - Credential dumping via DCSync","","T1003.006","TA0006","Credential Access","DCSync","Production","1"
"CS - CVE-2025-53770 - Encoded PowerShell via IIS Worker Process","T1027","T1059.001","TA0002, TA0005","Defense Evasion, Execution","Obfuscated Files or Information, PowerShell","Production","2"
"CS - CVE-2025-53770 - SharePoint Exploit File Creation","T1190","T1505.003","TA0001, TA0003","Initial Access, Persistence","Exploit Public-Facing Application, Web Shell","Production","2"
"CS - Data Exfiltration via Crafted DNS Queries","T1048","","TA0010","Exfiltration","Exfiltration Over Alternative Protocol","Production","1"
"CS - Declined MFA Requests","T1621","","TA0006","Credential Access","Multi-Factor Authentication Request Generation","Production","1"
"CS - Deleting Shadow Copies","","T1059.003, T1070.001","TA0002, TA0005","Defense Evasion, Execution","Clear Windows Event Logs, Windows Command Shell","Production","2"
"CS - Deleting Windows Defender Scheduled Tasks","","T1562.001","TA0005","Defense Evasion","Disable or Modify Tools","Production","1"
"CS - Deletion of Volume Shadow Copies","T1047, T1490","","TA0002, TA0040","Execution, Impact","Inhibit System Recovery, Windows Management Instrumentation","Production","2"
"CS - Disk Image File Created or Opened in Outlook or Recent Folder","T1566","","TA0001","Initial Access","Phishing","Production","1"
"CS - Distributed Password cracking attempts in AzureAD","T1078","T1110.001, T1110.002, T1110.003, T1110.004","TA0001, TA0006","Credential Access, Initial Access","Credential Stuffing, Password Cracking, Password Guessing, Password Spraying, Valid Accounts","Tuning","5"
"CS - Embedded Office macro dropped file to Public path","","T1137.001","TA0003","Persistence","Office Template Macros","Production","1"
"CS - Enabling RDP Service via Reg.exe","","T1021.001","TA0008","Lateral Movement","Remote Desktop Protocol","Production","1"
"CS - Enhanced Unfamiliar Sign-In Properties","T1078","","TA0001","Initial Access","Valid Accounts","Tuning","1"
"CS - Esentutl.exe Used to Copy Files","T1005","","TA0009","Collection","Data from Local System","Production","1"
"CS - Exchange SSRF Autodiscover ProxyShell - Detection","T1190","","TA0001","Initial Access","Exploit Public-Facing Application","Production","1"
"CS - Exchange workflow MailItemsAccessed operation anomaly","","T1114.002","TA0009","Collection","Remote Email Collection","Production","1"
"CS - Executable and Script File Name Anomalies","T1059","T1059.001, T1059.003, T1059.005","TA0002","Execution","Command and Scripting Interpreter, PowerShell, Visual Basic, Windows Command Shell","Production","4"
"CS - Execution of ZeroLogon PoC Executable","T1210","","TA0008","Lateral Movement","Exploitation of Remote Services","Production","1"
"CS - Exes with double file extension and access summary","","T1036.007","TA0005","Defense Evasion","Double File Extension","Customer Monitored","1"
"CS - Explorer spawning Rundll32 targeting unusual directory","","T1218.011","TA0005","Defense Evasion","Rundll32","Production","1"
"CS - Failed Azure AD Logons But Success Logon To Host","T1078, T1110","","TA0001, TA0006","Credential Access, Initial Access","Brute Force, Valid Accounts","Production","2"
"CS - Failed AzureAD logons but success logon to AWS Console","T1098","","TA0003","Persistence","Account Manipulation","Customer Monitored","1"
"CS - GCP Audit Firewall Rule Modified","T1562","","TA0005","Defense Evasion","Impair Defenses","Tuning","1"
"CS - GCP Audit SQL Database Modified","T1098, T1485, T1490, T1578","","TA0003, TA0005, TA0040","Defense Evasion, Impact, Persistence","Account Manipulation, Data Destruction, Inhibit System Recovery, Modify Cloud Compute Infrastructure","Production","4"
"CS - GCP Audit Unauthorized API Calls","T1552","","TA0006","Credential Access","Unsecured Credentials","Production","1"
"CS - GCP IAM - Disable Data Access Logging","T1562","","TA0005","Defense Evasion","Impair Defenses","Production","1"
"CS - GCP IAM - High privileged role added to service account","","T1078.004, T1548.005","TA0001, TA0004","Initial Access, Privilege Escalation","Cloud Accounts, Temporary Elevated Cloud Access","Production","2"
"CS - GCP IAM - Privileges Enumeration","T1069","","TA0007","Discovery","Permission Groups Discovery","Production","1"
"CS - GCP IAM - Publicly exposed storage buckets","T1530","","TA0009","Collection","Data from Cloud Storage","Production","1"
"CS - GCP IAM - Service Account Keys Enumeration","","T1078.004, T1087.004","TA0001, TA0003, TA0004, TA0007","Discovery, Initial Access, Persistence, Privilege Escalation","Cloud Account, Cloud Accounts","Tuning","2"
"CS - GCP Service Account Enumeration","T1087","","TA0007","Discovery","Account Discovery","Production","1"
"CS - HAFNIUM New UM Service Child Process","T1190","","TA0001","Initial Access","Exploit Public-Facing Application","Production","1"
"CS - HiddenGh0st initiating from system path","","T1543.003","TA0003","Persistence","Windows Service","Production","1"
"CS - Interactive STS refresh token modifications","T1528","","TA0006","Credential Access","Steal Application Access Token","Production","1"
"CS - IPC Correlated Alerts","T1098","","TA0003","Persistence","Account Manipulation","Tuning","1"
"CS - Language check conducted on host (SIEM)","","T1614.001","TA0007","Discovery","System Language Discovery","Production","1"
"CS - Linux Iptables Firewall Modification","","T1562.004","TA0005","Defense Evasion","Disable or Modify System Firewall","Production","1"
"CS - Log4j Exploit Attempt","T1071, T1190, T1548","","TA0001, TA0004, TA0011","Command and Control, Initial Access, Privilege Escalation","Abuse Elevation Control Mechanism, Application Layer Protocol, Exploit Public-Facing Application","Production","3"
"CS - Log4j User Agent Search","T1071, T1190, T1548","","TA0001, TA0004, TA0011","Command and Control, Initial Access, Privilege Escalation","Abuse Elevation Control Mechanism, Application Layer Protocol, Exploit Public-Facing Application","Production","3"
"CS - Login to AWS Management Console without MFA","T1528","T1078.002, T1078.003, T1078.004","TA0001, TA0006","Credential Access, Initial Access","Cloud Accounts, Domain Accounts, Local Accounts, Steal Application Access Token","Customer Monitored","4"
"CS - Mail redirect via ExO transport rule","T1011, T1048, T1537, T1564, T1567","T1114.003","TA0005, TA0009, TA0010","Collection, Defense Evasion, Exfiltration","Email Forwarding Rule, Exfiltration Over Alternative Protocol, Exfiltration Over Other Network Medium, Exfiltration Over Web Service, Hide Artifacts, Transfer Data to Cloud Account","Customer Monitored","6"
"CS - Malicious Inbox Rule","T1564","T1137.005","TA0003, TA0005","Defense Evasion, Persistence","Hide Artifacts, Outlook Rules","Customer Monitored","2"
"CS - Malicious NPM Package – os-info-checker-es6 Execution with Google Calendar C2","T1059","","TA0002","Execution","Command and Scripting Interpreter","Tuning","1"
"CS - Malicious PDF converter campaign spreads SectopRAT variant","T1059, T1204, T1566","","TA0001, TA0002","Execution, Initial Access","Command and Scripting Interpreter, Phishing, User Execution","Production","3"
"CS - Malicious PyPI package delivers remote access trojan to Discord developers detection","T1055, T1059, T1071, T1547","","TA0002, TA0003, TA0005, TA0011","Command and Control, Defense Evasion, Execution, Persistence","Application Layer Protocol, Boot or Logon Autostart Execution, Command and Scripting Interpreter, Process Injection","Production","4"
"CS - Mass attempts to reset passwords for domain accounts (Experimental)","T1098","","TA0003","Persistence","Account Manipulation","Tuning","1"
"CS - Microsoft Entra ID Role Management Permission Grant","T1078, T1098, T1486","","TA0003, TA0040","Impact, Persistence","Account Manipulation, Data Encrypted for Impact, Valid Accounts","Customer Monitored","3"
"CS - Microsoft Sentinel - Proofpoint - Blocked messages with known threat content","T1566","","TA0001","Initial Access","Phishing","Tuning","1"
"CS - Microsoft Sentinel - Proofpoint - Clicks to malicious URLs blocked","T1566","","TA0001","Initial Access","Phishing","Tuning","1"
"CS - Microsoft Sentinel - Proofpoint - Clicks to malicious URLs permitted","T1566","","TA0001","Initial Access","Phishing","Tuning","1"
"CS - Microsoft Sentinel - Proofpoint - Delivered messages with known threat content","T1566","","TA0001","Initial Access","Phishing","Tuning","1"
"CS - Multiple authentication failures followed by a success","T1078","T1110.001, T1110.004","TA0001, TA0006","Credential Access, Initial Access","Credential Stuffing, Password Guessing, Valid Accounts","Production","3"
"CS - Multiple Discovery Commands Issued","T1083","","TA0007","Discovery","File and Directory Discovery","Production","1"
"CS - Multiple Password Reset by User","T1098","T1078.002, T1078.003, T1078.004","TA0001, TA0003","Initial Access, Persistence","Account Manipulation, Cloud Accounts, Domain Accounts, Local Accounts","Production","4"
"CS - Multiple RDP connections from Single System","","T1021.001, T1563.002","TA0008","Lateral Movement","RDP Hijacking, Remote Desktop Protocol","Production","2"
"CS - Multiple registry keys enumerated","T1012, T1119","T1552.002","TA0006, TA0007, TA0009","Collection, Credential Access, Discovery","Automated Collection, Credentials in Registry, Query Registry","Production","3"
"CS - Multiple Teams deleted by a single user","T1485, T1489, T1531","","TA0040","Impact","Account Access Removal, Data Destruction, Service Stop","Tuning","3"
"CS - Netsh creating a portproxy configuration","T1090","","TA0011","Command and Control","Proxy","Production","1"
"CS - Network Port Sweep From External Network (ASIM Network Session schema)","T1098","","TA0003","Persistence","Account Manipulation","Production","1"
"CS - New country signin attempt with MFA Denied","T1078, T1110","","TA0001, TA0003, TA0004, TA0005, TA0006","Credential Access, Defense Evasion, Initial Access, Persistence, Privilege Escalation","Brute Force, Valid Accounts","Tuning","2"
"CS - New executable via Office FileUploaded Operation","T1071","T1608.001","TA0011, TA0042","Command and Control, Resource Development","Application Layer Protocol, Upload Malware","Production","2"
"CS - New phishing campaign delivers RATty RAT targeting Spain, Italy and Portugal","T1566","","TA0001","Initial Access","Phishing","Production","1"
"CS - New user created and added to the built-in administrators group","T1098, T1548","T1078.002, T1078.003, T1078.004","TA0003, TA0004","Persistence, Privilege Escalation","Abuse Elevation Control Mechanism, Account Manipulation, Cloud Accounts, Domain Accounts, Local Accounts","Production","5"
"CS - NRT MFA Rejected by User","T1078","","TA0004","Privilege Escalation","Valid Accounts","Customer Monitored","1"
"CS - Office Mail Forwarding - Hunting Version","T1020, T1114","","TA0009, TA0010","Collection, Exfiltration","Automated Exfiltration, Email Collection","Customer Monitored","2"
"CS - Password spray attack against Azure AD application","T1078","T1110.001, T1110.003","TA0001, TA0006","Credential Access, Initial Access","Password Guessing, Password Spraying, Valid Accounts","Production","3"
"CS - Possible contact with a domain generated by a DGA","","T1568.002","TA0011","Command and Control","Domain Generation Algorithms","Production","1"
"CS - Possible download from hex encoded IP","","T1132.001","TA0011","Command and Control","Standard Encoding","Production","1"
"CS - Possible ExtExport utility abuse","T1218","","TA0005","Defense Evasion","System Binary Proxy Execution","Production","1"
"CS - Possible Resource-Based Constrained Delegation Abuse","T1098, T1134, T1558","","TA0004, TA0006","Credential Access, Privilege Escalation","Access Token Manipulation, Account Manipulation, Steal or Forge Kerberos Tickets","Tuning","3"
"CS - Potential Account Enumeration","T1110","","TA0006","Credential Access","Brute Force","Tuning","1"
"CS - Potential BlackLotus activity - Windows Defender disabled","T1133","","TA0001","Initial Access","External Remote Services","Production","1"
"CS - Potential BloodHound Execution","T1482","","TA0007","Discovery","Domain Trust Discovery","Production","1"
"CS - Potential CVE-2023-23397 exploitation via malicious WAV file","T1187","","TA0006","Credential Access","Forced Authentication","Production","1"
"CS - Potential Follina Exploit Behavior","","T1204.002","TA0002","Execution","Malicious File","Production","1"
"CS - Potential HiddenGh0st rootkit driver detected","T1014","","TA0005","Defense Evasion","Rootkit","Production","1"
"CS - Potential MFA Fatigue Attack","T1621","","TA0006","Credential Access","Multi-Factor Authentication Request Generation","Production","1"
"CS - Potential PowerShell Obfuscation (Binary XOR Operator)","T1027","","TA0005","Defense Evasion","Obfuscated Files or Information","Production","1"
"CS - Potential privilege escalation behavior via Meterpreter or Cobalt Strike","","T1059.003, T1548.002","TA0002, TA0004","Execution, Privilege Escalation","Bypass User Account Control, Windows Command Shell","Production","2"
"CS - Potential Remcos ransomware file execution","T1059","","TA0002","Execution","Command and Scripting Interpreter","Production","1"
"CS - Potential Rhysida RDP Registry Artifact Deletion","","T1070.009","TA0005","Defense Evasion","Clear Persistence","Production","1"
"CS - Potential Rorschach Ransomware False Argument Strings","","T1562.006","TA0005","Defense Evasion","Indicator Blocking","Production","1"
"CS - Potential SystemBC Registry Run Key Detected","","T1547.001","TA0003","Persistence","Registry Run Keys / Startup Folder","Production","1"
"CS - Potential Typhon Stealer file artifact","","T1074.001","TA0009","Collection","Local Data Staging","Production","1"
"CS - Potential Windows CMD Process Injection","","T1059.001","TA0002","Execution","PowerShell","Production","1"
"CS - PowerShell commands detected in registry runkey data","","T1547.001","TA0003","Persistence","Registry Run Keys / Startup Folder","Production","1"
"CS - PowerShell decoding commands or options detected","T1140","","TA0005","Defense Evasion","Deobfuscate/Decode Files or Information","Production","1"
"CS - PowerShell Invoking WMI In Deletion of Shadow Copies","T1047, T1490","","TA0002, TA0040","Execution, Impact","Inhibit System Recovery, Windows Management Instrumentation","Production","2"
"CS - PowerShell Scipt Block Suspicious Cmdlets (Experimental)","","T1059.001","TA0002","Execution","PowerShell","Tuning","1"
"CS - PowerShell ScriptBlock Mimikatz Activity","","T1059.003","TA0002","Execution","Windows Command Shell","Production","1"
"CS - PowerShell Used to Clear Clipboard (Experimental)","","T1070.003","TA0005","Defense Evasion","Clear Command History","Tuning","1"
"CS - PowerSploit framework commandlets detected running on host","T1135","T1059.001","TA0002, TA0007","Discovery, Execution","Network Share Discovery, PowerShell","Production","2"
"CS - Privilege escalation vulnerability in OttoKit WordPress plugin exploited by attackers","T1190, T1548","","TA0001, TA0004","Initial Access, Privilege Escalation","Abuse Elevation Control Mechanism, Exploit Public-Facing Application","Production","2"
"CS - Privileged Role Assigned Outside PIM","T1098","","TA0003","Persistence","Account Manipulation","Production","1"
"CS - Privileged User Logon from new ASN","T1078, T1133","","TA0001","Initial Access","External Remote Services, Valid Accounts","Production","2"
"CS - Probable AdFind Recon Tool Usage","T1018","","TA0007","Discovery","Remote System Discovery","Tuning","1"
"CS - PsExec used to distribute executable","T1570","","TA0008","Lateral Movement","Lateral Tool Transfer","Production","1"
"CS - PsfLauncher invoking PowerShell","","T1059.001","TA0002","Execution","PowerShell","Tuning","1"
"CS - Pythonw.exe Found In Registry Run Key","","T1547.001","TA0003","Persistence","Registry Run Keys / Startup Folder","Production","1"
"CS - Rare Role Modifications","T1078","","TA0004","Privilege Escalation","Valid Accounts","Production","1"
"CS - RDP Nesting","T1078","T1021.001, T1563.002","TA0004, TA0008","Lateral Movement, Privilege Escalation","RDP Hijacking, Remote Desktop Protocol, Valid Accounts","Production","3"
"CS - Registry edit to LanmanServer parameters to increase network connections allowed","T1112","","TA0005","Defense Evasion","Modify Registry","Production","1"
"CS - Regsvr32 Rundll32 Image Loads Abnormal Extension","T1218","","TA0005","Defense Evasion","System Binary Proxy Execution","Production","1"
"CS - Request to Release Malicious Email","T1621","","TA0006","Credential Access","Multi-Factor Authentication Request Generation","Production","1"
"CS - Scheduled Task Executing PowerShell Encoded Payload from Registry","","T1053.005, T1059.001","TA0002, TA0003","Execution, Persistence","PowerShell, Scheduled Task","Production","2"
"CS - Scheduled Task Utilizing Suspicious Folders","","T1053.005","TA0002","Execution","Scheduled Task","Production","1"
"CS - Script Invoking Curl or AutoIT","","T1059.005","TA0002","Execution","Visual Basic","Production","1"
"CS - Sensitive Azure Key Vault Operations","T1078, T1110","","TA0001, TA0006","Credential Access, Initial Access","Brute Force, Valid Accounts","Tuning","2"
"CS - Service Principal Assigned App Role With Sensitive Access","T1078","","TA0004","Privilege Escalation","Valid Accounts","Production","1"
"CS - Service Principal Authentication Attempt from New Country","T1078","","TA0001","Initial Access","Valid Accounts","Customer Monitored","1"
"CS - SharePointFileOperation via previously unseen IPs","","T1567.002","TA0010","Exfiltration","Exfiltration to Cloud Storage","Production","1"
"CS - Sign-ins from IPs that attempt sign-ins to disabled accounts","","T1078.002, T1078.004, T1110.003","TA0001, TA0006","Credential Access, Initial Access","Cloud Accounts, Domain Accounts, Password Spraying","Production","3"
"CS - SmoothOperator C2s contacted by 3CXDesktopApp","","T1195.002","TA0001","Initial Access","Compromise Software Supply Chain","Production","1"
"CS - SSH Potential Brute Force","T1110","","TA0006","Credential Access","Brute Force","Production","1"
"CS - SSH Used With Hidden Window (Experimental)","","T1021.004, T1564.003","TA0005, TA0008","Defense Evasion, Lateral Movement","Hidden Window, SSH","Tuning","2"
"CS - Sub domain that are hosting fake Reddit webpage","T1105","T1566.001, T1566.002","TA0001, TA0011","Command and Control, Initial Access","Ingress Tool Transfer, Spearphishing Attachment, Spearphishing Link","Production","3"
"CS - SUNBURST suspicious SolarWinds child processes","","T1059.003, T1070.001","TA0002, TA0005","Defense Evasion, Execution","Clear Windows Event Logs, Windows Command Shell","Production","2"
"CS - Suspected Haliburton Ransomware IOC Activity","T1059, T1110, T1190, T1566","","TA0001, TA0002, TA0006","Credential Access, Execution, Initial Access","Brute Force, Command and Scripting Interpreter, Exploit Public-Facing Application, Phishing","Production","4"
"CS - Suspicious Computer Name Change (CVE-2021-42278)","T1068","","TA0004","Privilege Escalation","Exploitation for Privilege Escalation","Production","1"
"CS - Suspicious File Compilation via w3wp.exe","T1059","","TA0002","Execution","Command and Scripting Interpreter","Production","1"
"CS - Suspicious File Creation Related to MOVEit Vulnerability","T1190","","TA0001","Initial Access","Exploit Public-Facing Application","Production","1"
"CS - Suspicious FlawedGrace Injection Flags Detected","T1055","","TA0005","Defense Evasion","Process Injection","Production","1"
"CS - Suspicious granting of permissions to an account","T1098, T1548","T1078.002, T1078.003, T1078.004","TA0003, TA0004","Persistence, Privilege Escalation","Abuse Elevation Control Mechanism, Account Manipulation, Cloud Accounts, Domain Accounts, Local Accounts","Production","5"
"CS - Suspicious Signer Related to SpyBoy Terminator","","T1562.001","TA0005","Defense Evasion","Disable or Modify Tools","Tuning","1"
"CS - Swan Vector cyber espionage campaign Detection","T1055, T1059, T1071, T1090, T1204, T1218","","TA0002, TA0005, TA0011","Command and Control, Defense Evasion, Execution","Application Layer Protocol, Command and Scripting Interpreter, Process Injection, Proxy, System Binary Proxy Execution, User Execution","Production","6"
"CS - Symbolic Link Evaluation Enabled with Fsutil","","T1059.003","TA0002","Execution","Windows Command Shell","Production","1"
"CS - Threat Essentials - NRT User added to Azure Active Directory Privileged Groups","T1098, T1548","","TA0003, TA0004","Persistence, Privilege Escalation","Abuse Elevation Control Mechanism, Account Manipulation","Customer Monitored","2"
"CS - TI Map IP Entity to Network and DNS Events","T1046, T1133, T1498","T1048.003, T1071.001, T1071.004","TA0001, TA0007, TA0010, TA0011, TA0040","Command and Control, Discovery, Exfiltration, Impact, Initial Access","DNS, Exfiltration Over Unencrypted Non-C2 Protocol, External Remote Services, Network Denial of Service, Network Service Discovery, Web Protocols","Tuning","6"
"CS - Unauthorized access for IAM user found(Potential exfiltration)","T1078, T1555","","TA0001, TA0006","Credential Access, Initial Access","Credentials from Password Stores, Valid Accounts","Production","2"
"CS - Uncommon AnyDesk Process Observed","T1219","","TA0011","Command and Control","Remote Access Tools","Production","1"
"CS - User account added to built in domain local or global group","T1098","T1078.002","TA0003, TA0004","Persistence, Privilege Escalation","Account Manipulation, Domain Accounts","Customer Monitored","2"
"CS - User account enabled and disabled within 10 mins","T1098, T1548","T1078.002, T1078.003, T1078.004","TA0003, TA0004","Persistence, Privilege Escalation","Abuse Elevation Control Mechanism, Account Manipulation, Cloud Accounts, Domain Accounts, Local Accounts","Customer Monitored","5"
"CS - User added to Azure Active Directory Privileged Groups","T1098, T1548","T1078.002, T1078.003, T1078.004","TA0003, TA0004","Persistence, Privilege Escalation","Abuse Elevation Control Mechanism, Account Manipulation, Cloud Accounts, Domain Accounts, Local Accounts","Production","5"
"CS - Wbadmin backup deletion","T1490","","TA0040","Impact","Inhibit System Recovery","Production","1"
"CS - Windows Active Directory Discovery Using AdFind Tool","T1018, T1482","","TA0007","Discovery","Domain Trust Discovery, Remote System Discovery","Production","2"
"CS - Windows Binaries Executed from Non-Default Directory","T1218","","TA0005","Defense Evasion","System Binary Proxy Execution","Tuning","1"
"CS - Windows CMD Mimikatz Activity","","T1059.003","TA0002","Execution","Windows Command Shell","Production","1"
"CS - Windows Defender disabled via registry modification","T1112","T1562.001","TA0005","Defense Evasion","Disable or Modify Tools, Modify Registry","Production","2"
"CS - Windows Event logging source disabled via registry","","T1562.002","TA0005","Defense Evasion","Disable Windows Event Logging","Production","1"
"CS - Windows Event logs cleared with PowerShell","","T1070.001","TA0005","Defense Evasion","Clear Windows Event Logs","Production","1"
"CS - Windows Reserved Filenames staged on Office file services","T1105","","TA0011","Command and Control","Ingress Tool Transfer","Production","1"
"CS - Windows Script Host with Suspicious Process Chain","","T1059.003","TA0002","Execution","Windows Command Shell","Production","1"
"CS - Windows Suspicious CLI Download Activity","T1197","","TA0005","Defense Evasion","BITS Jobs","Production","1"
"CS - WindowsCMDSuspiciousPowerShellCmdlets","","T1059.001, T1059.003","TA0002","Execution","PowerShell, Windows Command Shell","Production","2"
"CS - wscript or cscript spawning a shortname javascript file","","T1059.007","TA0002","Execution","JavaScript","Production","1"
